lambda_1,lambda_2,lambda_3,x_opt_1,x_opt_2,x_opt_3
0.4182869690507384,0.2845735667235585,0.2971394642257029,-1.5999388356336592,-1.5999388529467213,-1.5999388449277865
0.18226544433426003,0.7175134234152605,0.10022113225047945,-2.0,-2.0,-2.0
0.15099803682184826,0.052981643081954376,0.7960203200961975,-1.3654354310667924,-1.365434915650801,-1.3654344491352
0.2116341486726745,0.5884327578786265,0.19993309344869908,-2.0,-2.0,-2.0
0.19086436345564203,0.0265327740776613,0.7826028624666966,-1.3445116581913492,-1.344511501284244,-1.3445118957319506
0.27218578718475,0.3735277125538396,0.3542865002614105,-1.6858591767277886,-1.6858590904054331,-1.685858983893006
0.08134388859443396,0.46010200275750335,0.45855410864806273,-1.717528348245327,-1.7175283504361858,-1.7175283546683722
0.06183167516722223,0.6000960552094288,0.3380722696233491,-1.958608876625134,-1.9586088815906046,-1.9586088780284874
0.16389039903247263,0.6912571696460112,0.14485243132151612,-2.0,-2.0,-2.0
0.14411088503847463,0.29689716181313436,0.5589919531483912,-1.5479328024045622,-1.5479327772427998,-1.547932809296209
0.6489280272475877,0.3186132608287214,0.03245871192369084,-2.0,-2.0,-2.0
0.1518873510559334,0.8460251531866808,0.002087495757385776,-2.0,-2.0,-2.0
0.2131979374285403,0.6901469859924797,0.09665507657897998,-2.0,-2.0,-2.0
0.8071224834484849,0.18183567973642734,0.011041836815087656,-1.3481661109996088,-1.3481660838203955,-1.348166148216089
0.6864684613032357,0.05731841191377456,0.2562131267829899,-1.1806131120056023,-1.1806130453496535,-1.1806129869722337
0.10697073558766437,0.15810890811939665,0.7349203562929391,-1.4348827050886523,-1.4348825982043854,-1.4348826712529377
0.36442891550233386,0.32289533098876,0.31267575350890625,-1.645810801190261,-1.64581079146292,-1.6458108229824036
0.7780650566906682,0.03927525727930936,0.18265968603002236,-1.027876038950244,-1.027875517275441,-1.0278766555775516
0.510018634167835,0.08836985309751753,0.40161151273464746,-1.3241794322464775,-1.3241794397444806,-1.3241794370875204
0.388671812226634,0.571096572216428,0.04023161555693785,-2.0,-2.0,-2.0
0.0028476361327612444,0.39096967772626123,0.6061826861409775,-1.6110331410463874,-1.6110331390580193,-1.6110331358630896
0.02562687212047118,0.43730904098004564,0.5370640868994833,-1.6655469799309208,-1.665547002969489,-1.6655469982649422
0.0002882336639074673,0.16678174283021166,0.8329300235058807,-1.44286900614379,-1.4428690311280494,-1.442869011228544
0.3240832845554094,0.3771184391437669,0.29879827630082356,-1.727839440240367,-1.7278394396814338,-1.7278394478864172
0.539734526991237,0.1800599521207956,0.28020552088796746,-1.4389995143084804,-1.4389994174968388,-1.4389996216640526
0.11494389150983103,0.3963067662818062,0.4887493422083626,-1.6486642540870926,-1.6486642686329103,-1.6486642674566556
0.13740745600891818,0.1039028171105981,0.7586897268804838,-1.3978865976218207,-1.3978865559914955,-1.397886548785397
0.21023637905685366,0.35585435829413975,0.43390926264900664,-1.6307769626597435,-1.6307769908579905,-1.6307770817611449
0.4236918709189173,0.17183871001714301,0.4044694190639397,-1.4342798655724145,-1.4342798968090855,-1.43427991899108
0.23607058209003998,0.23443540285403586,0.5294940150559241,-1.4975976460085931,-1.4975976502026047,-1.497597581720506
0.1773930312649995,0.022303918760718744,0.8003030499742817,-1.3440232051962273,-1.344023196206572,-1.3440231932420785
0.3148934262282264,0.08819421799596677,0.5969123557758068,-1.3674068837099451,-1.367406854657601,-1.3674070035937098
0.21266141214409645,0.657290721134079,0.13004786672182442,-2.0,-2.0,-2.0
0.4182684804705459,0.1570230399193411,0.424708479610113,-1.4177038641464887,-1.417703874007536,-1.4177038631814272
