lambda_1,lambda_2,lambda_3,x_opt_1,x_opt_2,x_opt_3
0.2078519487633516,0.009019043370512372,0.7831290078661359,-1.3315216841735653,-1.3315216756152417,-1.3315217043337162
0.7377115834816894,0.17097774047333697,0.09131067604497364,-1.36940161355188,-1.3694016144960213,-1.3694016625738348
0.029964398705533093,0.8170402930285481,0.1529953082659188,-2.0,-2.0,-2.0
0.2249908070519915,0.023876890202134852,0.7511323027458736,-1.3375744753820182,-1.3375743593159175,-1.3375742020150712
0.3369366166145029,0.42704946768492663,0.23601391570057048,-1.8724089253377223,-1.872408920221226,-1.8724089070381114
0.28991538093850855,0.18528576687613313,0.5247988521853585,-1.4522708265001127,-1.4522708255822232,-1.4522708280115761
0.19125203590822382,0.07224441368941786,0.7365035504023583,-1.3725446599429925,-1.372544595936608,-1.3725447294014295
0.1302743101752197,0.7110621699363069,0.15866351988847335,-2.0,-2.0,-2.0
0.22613455684780165,0.38105950766231267,0.39280593548988546,-1.673820968169204,-1.6738209918579063,-1.6738209948379077
0.2041216127496292,0.7660801372059435,0.029798250044427207,-2.0,-2.0,-2.0
0.12672521820791838,0.4547818301379887,0.418492951654093,-1.734405064940253,-1.7344050829068016,-1.734405049594487
0.07768953534155465,0.5912832018188143,0.33102726283963096,-1.9580059446329177,-1.9580059536130394,-1.9580059476879972
0.14441507650905108,0.3987640321433797,0.4568208913475692,-1.662865369662841,-1.662865390273986,-1.6628653975974506
0.018796523457132293,0.5369887920288499,0.44421468451401774,-1.7943140186771573,-1.7943139742057483,-1.794314009018489
0.7566429527211848,0.03535092936039749,0.20800611791841778,-1.059192933167067,-1.0591928311619312,-1.0591928101899768
0.6862814929994084,0.21090999886770004,0.10280850813289143,-1.5363793882868642,-1.5363793872994844,-1.536379449919751
0.8181705912431158,0.1690198784100129,0.01280953034687114,-1.2336225394856024,-1.2336225255702689,-1.2336225309752604
0.19736739017168994,0.4719915947082804,0.33064101512002975,-1.819081466548922,-1.8190814831536581,-1.8190814807832538
0.675457566447263,0.17974697574325976,0.14479545780947722,-1.4233702882668517,-1.423370249571749,-1.4233701942796535
