lambda1,lambda2,lambda3,x_opt,cov_matrix,solution_covariance,objective_covariance,sensitivity_norm,P_matrix,P_flattened
0.6757970406898235,0.30147438868212656,0.022728570628049963,"[-2.0, -2.0, -2.0]","[[-35.97465478596078, -38642.82937543507, 77285.65875087043], [-38642.82937543507, -193.21414687717535, 14389.861914384312], [77285.65875087043, 14389.861914384312, 114.59440083156878]]","[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]",7.950218306437579,123882.48718434379,"[[nan, nan, nan], [nan, nan, nan], [nan, nan, nan]]","[nan, nan, nan, nan, nan, nan]"
0.29476552145956225,0.5808669134963137,0.12436756504412419,"[-2.0, -2.0, -2.0]","[[-35.97465478596078, -38642.82937543507, 77285.65875087028], [-38642.82937543507, -193.21414687717464, 14389.861914384028], [77285.65875087028, 14389.861914384028, 114.59440083156736]]","[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]",8.501968698342035,123882.48718434352,"[[nan, nan, nan], [nan, nan, nan], [nan, nan, nan]]","[nan, nan, nan, nan, nan, nan]"
0.5370695549854069,0.3349774681663723,0.12795297684822068,"[-1.9053929613268537, -1.905392981741352, -1.9053929888915961]","[[-16.606942988190454, -32532.11784488776, 58375.736551921094], [-32532.11784488776, -164.35575934952737, 7973.762125598114], [58375.736551921094, 7973.762125598114, 75.46158953997768]]","[[0.0033223197101065944, 0.0033223197302291244, 0.0033223190685613586], [0.0033223197302291244, 0.003322319750353249, 0.0033223190886855145], [0.0033223190685613586, 0.0033223190886855145, 0.003322318427019]]",5.657633057756036,95180.48837253805,"[[nan, nan, nan], [nan, nan, nan], [nan, nan, nan]]","[nan, nan, nan, nan, nan, nan]"
0.08416201084345488,0.49078167466065,0.4250563144958952,"[-1.764664997655972, -1.7646650195806821, -1.764665032734221]","[[8.949702011023675, -20840.242887038443, 40417.082421901825], [-20840.242887038443, -104.61628625778019, -3273.596645879877], [40417.082421901825, -3273.596645879877, 45.37553104655103]]","[[0.0003248982392001588, 0.00032489826635633863, 0.0003248981930041835], [0.00032489826635633863, 0.00032489829351340624, 0.00032489822016118464], [0.0003248981930041835, 0.00032489822016118464, 0.0003248981468093142]]",3.616519558746131,64476.03045925122,"[[nan, nan, nan], [nan, nan, nan], [nan, nan, nan]]","[nan, nan, nan, nan, nan, nan]"
0.23568476556886922,0.416310936945467,0.34800429748566375,"[-1.739485154958005, -1.7394851682117412, -1.739485171175054]","[[11.722185385905703, -19473.17237593282, 37528.31435408168], [-19473.17237593282, -97.86562736418531, -4332.893428462654], [37528.31435408168, -4332.893428462654, 40.40295907206257]]","[[0.00047547348749126244, 0.0004754734314258759, 0.0004754735120627462], [0.0004754734314258759, 0.0004754733753613038, 0.0004754734559977654], [0.0004754735120627462, 0.0004754734559977654, 0.00047547353663503883]]",3.328427964340914,60105.88090775905,"[[nan, nan, nan], [nan, nan, nan], [nan, nan, nan]]","[nan, nan, nan, nan, nan, nan]"
0.09248416497205314,0.0009736588922441732,0.9065421761357028,"[-1.3440819665867536, -1.3440819729798184, -1.344081965701504]","[[23.454056804979473, -6249.518951663049, 0.0], [-6249.518951663049, -31.41452165856542, -9391.922408587092], [0.0, -9391.922408587092, 0.0]]","[[5.115453951376708e-05, -0.0005541136827387946, 5.115471215246177e-05], [-0.0005541136827387946, 0.34260188748735965, -0.0005541114395180013], [5.115471215246177e-05, -0.0005541114395180013, 5.115488483674631e-05]]",1.12775064012776,15954.025331469911,"[[nan, nan, nan], [nan, nan, nan], [nan, nan, nan]]","[nan, nan, nan, nan, nan, nan]"
0.2748634476160698,0.6149002395716268,0.11023631281230334,"[-2.0, -2.0, -2.0]","[[-35.97465478596007, -38642.829375434645, 77285.65875087043], [-38642.829375434645, -193.21414687717464, 14389.86191438488], [77285.65875087043, 14389.86191438488, 114.59440083156949]]","[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]",8.894407763629346,123882.48718434364,"[[nan, nan, nan], [nan, nan, nan], [nan, nan, nan]]","[nan, nan, nan, nan, nan, nan]"
0.23174646807217325,0.5210345518046835,0.24721898012314328,"[-2.0, -2.0, -2.0]","[[-35.97465478596078, -38642.82937543478, 75775.15823061916], [-38642.82937543478, -193.21414687717535, 14389.733503427493], [75775.15823061916, 14389.733503427493, 110.16449680209419]]","[[0.0005924670822788495, 0.0005924672359453094, 0.0005924670668778591], [0.0005924672359453094, 0.0005924673896120156, 0.0005924672205443747], [0.0005924670668778591, 0.0005924672205443747, 0.000592467051477051]]",7.350480179037061,122001.90718479239,"[[nan, nan, nan], [nan, nan, nan], [nan, nan, nan]]","[nan, nan, nan, nan, nan, nan]"
0.17139942289617274,0.2004315935396889,0.6281689835641383,"[-1.4651649306592511, -1.4651649458071985, -1.4651649415153531]","[[24.73201195383652, -8736.290968472957, 17178.781941602352], [-8736.290968472957, -43.92335566924075, -9839.211596027722], [17178.781941602352, -9839.211596027722, 9.222810226863842]]","[[0.000224812686202724, 0.0002248125931043271, 0.0002248127221934503], [0.0002248125931043271, 0.0002248125000086727, 0.0002248126290965467], [0.0002248127221934503, 0.0002248126290965467, 0.00022481275818967824]]",1.4854118905466798,30602.115178897686,"[[nan, nan, nan], [nan, nan, nan], [nan, nan, nan]]","[nan, nan, nan, nan, nan, nan]"
0.7363973711558612,0.1792709634043292,0.08433166543980956,"[-1.4029924789993156, -1.4029924545802153, -1.4029923844733945]","[[24.39127270626429, -7484.405270671459, 13738.845937262133], [-7484.405270671459, -38.87829813497383, -9605.83223507605], [13738.845937262133, -9605.83223507605, 5.681481767632945]]","[[0.009220861148326572, 0.0092208587846251, 0.009220861472508435], [0.0092208587846251, 0.009220856420940267, 0.00922085910881132], [0.009220861472508435, 0.00922085910881132, 0.009220861796695935]]",1.5208704062204104,25963.254504766835,"[[nan, nan, nan], [nan, nan, nan], [nan, nan, nan]]","[nan, nan, nan, nan, nan, nan]"
