lambda1,lambda2,lambda3,sensitivity_norm
0.11306862119238414,0.5386161630836054,0.3483152157240105,1.405493627091246
0.9011328885381629,0.041641736280599126,0.057225375181238054,1.7024563202404785
0.4761015921382035,0.4438031784988351,0.08009522936296141,0.8869651575825993
0.9164682596395013,0.03563209830459138,0.047899642055907334,1.7412069664794063
0.024430590334659493,0.7412447825629311,0.23432462710240937,2.140130695919964
0.03835392811707658,0.3265827111247216,0.6350633607582017,0.1664184289634571
0.0995873989341531,0.834687469939969,0.06572513112587777,2.359387196407423
0.02269950980583809,0.32211996724564324,0.6551805229485187,0.16003547545296018
0.16305462468330215,0.12593622012883907,0.7110091551878588,0.06469999530811221
0.5155752065571457,0.07210131892134944,0.4123234745215048,0.10551370321892134
0.5721458089059077,0.28971415554329566,0.1381400355507966,0.4426028670903377
0.28560987739966265,0.15826137971877155,0.5561287428815659,0.15575223917109632
0.1137584680570527,0.2667899734415225,0.6194515585014249,0.05206083689849769
0.5200844557978926,0.28277016875357014,0.1971453754485371,0.4739294251916715
0.5685116580162968,0.174563511303498,0.25692483068020533,0.1357812892502536
0.02860377086651279,0.351112579673887,0.6202836494596004,0.19290355910071186
0.7098203481745392,0.15990649302219223,0.13027315880326848,0.15447553986690493
0.26825744938570284,0.6814834043253295,0.05025914628896776,2.191842178884319
0.3632339617061727,0.046710938576815665,0.5900550997170116,0.13728600525492846
0.6439809540362162,0.05166656068205047,0.30435248528173314,0.38734290440575336
0.10620104143695355,0.3701217828295028,0.5236771757335438,0.26535677879459324
0.3162658447625803,0.18894451671732132,0.49478963852009844,0.18174492310995996
0.013556270438097085,0.7368848625649613,0.24955886699694155,1.3697003387194029
0.8913910588129602,0.08305342353327891,0.025555517653760924,3.4931541618889015
0.09510772761280462,0.8762891927571349,0.02860307963006056,2.599002871718639
0.36327297960129135,0.36898997159791336,0.26773704880079535,0.7108054196916567
0.5842174546077942,0.32278501528554093,0.09299753010666495,1.1803198377201356
0.662868104552278,0.15233761747968252,0.1847942779680395,0.1363906069862529
0.20175534996216266,0.4979351024441055,0.30030954759373185,0.7157278260553397
0.013517103812968506,0.38246225993295624,0.6040206362540753,0.11696681389232201
0.35944982075790294,0.38641416432129533,0.25413601492080184,0.4019461668434884
0.0711243425507344,0.5927558576202512,0.33611979982901435,1.5404940008176968
0.09129007169505288,0.7345791243891246,0.17413080391582245,2.1454072051106587
