lambda1,lambda2,lambda3,x_opt,cov_matrix,sensitivity_norm,P_matrix,P_flattened
0.38874592108911704,0.1809973919504966,0.43025668696038627,-1.4462201915983506,"[[8.24115127319267, -2766.389622874037, 5403.221683910359], [-2766.389622874037, -13.947620244419046, -3275.6005187005676], [5403.221683910359, -3275.6005187005676, 2.692023382561892]]",9754.733181279027,"[[nan, nan, nan], [nan, nan, nan], [nan, nan, nan]]","[nan, nan, nan, nan, nan, nan]"
0.04173331457797696,0.8949385115993173,0.06332817382270574,-2.0,"[[-11.99155159532026, -12880.943125145308, 25761.886250290187], [-12880.943125145308, -64.40471562572512, 4796.620638127962], [25761.886250290187, 4796.620638127962, 38.19813361052269]]",41294.162394781466,"[[nan, nan, nan], [nan, nan, nan], [nan, nan, nan]]","[nan, nan, nan, nan, nan, nan]"
0.31080832663844926,0.2470413309126512,0.4421503424488996,-1.5182292447869932,"[[8.092324822983965, -3400.4339340428123, 6631.538915306532], [-3400.4339340428123, -17.11786481057702, -3197.5641228866357], [6631.538915306532, -3197.5641228866357, 4.281171437262632]]",11468.641075795284,"[[nan, nan, nan], [nan, nan, nan], [nan, nan, nan]]","[nan, nan, nan, nan, nan, nan]"
0.3795573319224147,0.6108380466826804,0.009604621394904846,-2.0,"[[-11.99155159532026, 0.0, 25761.88625029033], [0.0, -64.40471562572547, 4796.620638128317], [25761.88625029033, 4796.620638128317, 38.198133610523044]]",37059.01315874654,"[[nan, nan, nan], [nan, nan, nan], [nan, nan, nan]]","[nan, nan, nan, nan, nan, nan]"
0.19136426634041928,0.24342268313399573,0.565213050525585,-1.5028289515345,"[[8.162644781449657, -3245.674101977798, 6365.380544908774], [-3245.674101977798, -16.31880462405917, -3237.391925549673], [6365.380544908774, -3237.391925549673, 3.90975981744468]]",11093.54320733955,"[[nan, nan, nan], [nan, nan, nan], [nan, nan, nan]]","[nan, nan, nan, nan, nan, nan]"
0.04582161513223861,0.04212751762685489,0.9120508672409066,-1.3706571589088672,"[[7.985867955881432, -2236.6229551744254, 4427.515266318558], [-2236.6229551744254, -11.23844280821018, -3194.3172530155193], [4427.515266318558, -3194.3172530155193, 1.5729088392061996]]",8343.756068506878,"[[nan, nan, nan], [nan, nan, nan], [nan, nan, nan]]","[nan, nan, nan, nan, nan, nan]"
0.8075920383030525,0.0030984531824578315,0.18930950851448966,1.7121381842383143,"[[-10.024326691846897, 5245.516914711272, 0.0], [5245.516914711272, 25.80028914418446, 3427.855825830166], [0.0, 3427.855825830166, 0.0]]",8861.831225680462,"[[nan, nan, nan], [nan, nan, nan], [nan, nan, nan]]","[nan, nan, nan, nan, nan, nan]"
0.0711440955020947,0.4653125830695637,0.46354332142834165,-1.7196232243082403,"[[4.605366185214166, -6098.384037774948, 11863.701175115437], [-6098.384037774948, -30.614735494330603, -1757.4277485531552], [11863.701175115437, -1757.4277485531552, 12.39349732171835]]",19027.706208111886,"[[nan, nan, nan], [nan, nan, nan], [nan, nan, nan]]","[nan, nan, nan, nan, nan, nan]"
0.27474230432665353,0.15817090809419126,0.5670867875791553,-1.428423683470623,"[[8.21426106065104, -2626.532569780231, 5160.447075674526], [-2626.532569780231, -13.220895820464218, -3273.549278171561], [5160.447075674526, -3273.549278171561, 2.3905185327082634]]",9406.92683376953,"[[nan, nan, nan], [nan, nan, nan], [nan, nan, nan]]","[nan, nan, nan, nan, nan, nan]"
0.27259892310014505,0.5089204911924157,0.2184805857074395,-2.0,"[[-11.991551595319905, -12880.943125145093, 25761.886250289976], [-12880.943125145093, -64.40471562572512, 4796.620638128104], [25761.886250289976, 4796.620638128104, 38.198133610523044]]",41294.1623947811,"[[nan, nan, nan], [nan, nan, nan], [nan, nan, nan]]","[nan, nan, nan, nan, nan, nan]"
0.022160851381987208,0.6898258734178371,0.2880132752001758,-2.0,"[[-11.99155159532026, -12880.943125145164, 25761.886250289903], [-12880.943125145164, -64.40471562572547, 4796.620638128033], [25761.886250289903, 4796.620638128033, 38.19813361052233]]",41294.16239478104,"[[nan, nan, nan], [nan, nan, nan], [nan, nan, nan]]","[nan, nan, nan, nan, nan, nan]"
0.5338194575409528,0.4632809554250791,0.0028995870339681893,-2.0,"[[-11.99155159532026, 0.0, 25761.886250289976], [0.0, -64.40471562572493, 4796.620638128066], [25761.886250289976, 4796.620638128066, 38.19813361052233]]",37059.01315874598,"[[nan, nan, nan], [nan, nan, nan], [nan, nan, nan]]","[nan, nan, nan, nan, nan, nan]"
0.17224932344583227,0.5432981986585443,0.2844524778956234,-1.9671501888027583,"[[-9.790237628096321, -12259.885972552665, 23327.439315022926], [-12259.885972552665, -61.55137382004199, 4110.424591547428], [23327.439315022926, 4110.424591547428, 32.799297220853774]]",37719.28683010865,"[[nan, nan, nan], [nan, nan, nan], [nan, nan, nan]]","[nan, nan, nan, nan, nan, nan]"
0.252949720552747,0.5068282957474141,0.24022198369983888,-1.993700056962969,"[[-11.901987901750921, -12863.030386431084, 24846.485380856684], [-12863.030386431084, -64.3151519321556, 4749.418928682303], [24846.485380856684, 4749.418928682303, 35.67118955208528]]",40133.90441829512,"[[nan, nan, nan], [nan, nan, nan], [nan, nan, nan]]","[nan, nan, nan, nan, nan, nan]"
0.49133925747304497,0.24422360411531624,0.2644371384116387,-1.5494969650785702,"[[7.8733293958384465, -3751.1333136355415, 7190.670885926415], [-3751.1333136355415, -18.94996617987088, -3070.0651690872323], [7190.670885926415, -3070.0651690872323, 5.09087166729536]]",12263.953079865636,"[[nan, nan, nan], [nan, nan, nan], [nan, nan, nan]]","[nan, nan, nan, nan, nan, nan]"
0.7822214619764178,0.10816277858685665,0.10961575943672558,-1.1319612231334806,"[[5.544231358407714, -1239.851179967557, 2441.7047874933037], [-1239.851179967557, -6.4556466352673425, -2345.1816265213665], [2441.7047874933037, -2345.1816265213665, 0.3272493540742216]]",5098.836404434163,"[[nan, nan, nan], [nan, nan, nan], [nan, nan, nan]]","[nan, nan, nan, nan, nan, nan]"
0.26028831350988213,0.21316493228900912,0.5265467542011087,-1.4783530331365096,"[[8.229182665354884, -3027.1273614241422, 5931.948152810733], [-3027.1273614241422, -15.231775782412882, -3267.441569379912], [5931.948152810733, -3267.441569379912, 3.343228144819932]]",10490.742472393158,"[[nan, nan, nan], [nan, nan, nan], [nan, nan, nan]]","[nan, nan, nan, nan, nan, nan]"
0.139190274175377,0.40111960054375295,0.45969012528087005,-1.6638698122086963,"[[6.126747781920017, -5192.0757498439225, 10106.22119152984], [-5192.0757498439225, -26.080023442542988, -2377.3852855694954], [10106.22119152984, -2377.3852855694954, 9.5047158470706]]",16416.19457623652,"[[nan, nan, nan], [nan, nan, nan], [nan, nan, nan]]","[nan, nan, nan, nan, nan, nan]"
0.032369634660861436,0.536952788904474,0.4306775764346646,-1.8036594335026443,"[[1.2803103175677677, -7754.311390639543, 15037.14437527705], [-7754.311390639543, -38.91213693859221, -404.0786143641384], [15037.14437527705, -404.0786143641384, 17.853827311714454]]",23933.6270928118,"[[nan, nan, nan], [nan, nan, nan], [nan, nan, nan]]","[nan, nan, nan, nan, nan, nan]"
